category,job_description_new,job_type_new,split
"Manufacturing, Transport & Logistics", Experienced HC Tipper Driver required must have current White Card to work on the North Connex Project ,Full Time,val
Hospitality & Tourism, Momento Hospitality is a dynamic expansive and growing hospitality business currently seeking an experienced Cooks Chefs and Chef De Parties to join our team on a full time basis We have four venues across the north west area The Australian Hotel and Brewery at Rouse Hill Bella Vista Hotel located in the center of the Bella Vista business park Hillside Hotel in the heart of Castle Hill and our newest venue The Governor Hotel in Macquarie Park opening June 2018 Duties and responsibilities General food preparation daily Ensuring quality and presentation of all meals meet standards Assist with menu design and planning Assisting with stocktake when required Maintain a safe and hygienic working environment Successful applicants will have Passion for cooking Certificate III in Hospitality Commercial Cookery Experience working in a commercial kitchen Strong verbal communication and interpersonal skills Ability to multi task and work under pressure Ability to work well in a team and autonomously Enthusiasm and motivation Positive attitude If this sounds like you please send through your resume detailing what position you are applying for Cook Chef or Chef de Partie Please note only those shortlisted will be contacted ,Full Time,val
Government & Defence, Today we have around 250 people who work to help make sure Medicare and the PBS is used well By July this year we will increase to around 400 people We now need some help experienced professionals who can help us ensure compliance and adherence with government legislation and regulations across health professionals in Australia Who are we The Commonwealth Health Department Provider Benefits Integrity Division is responsible for identifying investigating and treating incorrect claiming inappropriate practices and fraud We use a range of tools and approaches including Data analytics Behavioural economics Targeted campaigns Investigations Audit and Professional review Key elements of our work include conducting targeted interventions undertaking analysis and auditing of health providers billings and practices Our activities are informed by comprehensive compliance strategies advanced data analytics and insights from behavioural economics Preparation of complex and or sensitive correspondence and corporate documentation reports submissions proposal papers and notes are critical to the success of our work Our compliance teams work in the areas of Targeted Campaigns Audit Professional Review and Data Integrity and Quality We are looking for junior staff who may be newer to compliance work at the APS 3 and APS 4 levels as well as more experienced staff that who can begin to take up team leadership roles at the APS 5 and APS 6 levels Who are we looking for People with experience in areas such as audit fraud data integrity and quality as well as business improvement What will you do Work in one of our Compliance teams The senior roles APS 5 and APS6 will usually work as team leaders where the more junior roles APS 3 and APS 4 will form the core of our teams you will work in one of the sections listed here Targeted Campaigns Audit Professional Review Pathology Rents Quality These sections undertake a wide range of work including Working with stakeholders to encourage voluntary acknowledgment of incorrect billing and seek repayments Conducting analysis and audit of suspected high value claiming which does not meet legal requirements incorrect claiming Where an audit identifies incorrect claiming the Audit Section will raise debts for any incorrect amounts Review health practitioners GP s Specialists and Allied Health Professionals who may have engaged in possible inappropriate practice and where appropriate refer practitioners of concern to the Director of Professional Services Review Undertaking targeted reviews and regular monthly quality checks of data integrity and decision making surveying providers who have been audited and implementing a continuous business improvement program Who are you You like working with people and have good written and oral communication skills You enjoy working as part of a team and the more senior roles need people who have experience leading teams You have some understanding and experience in the areas of audit fraud entity analysis or quality management You can ensure compliance work is conducted in a timely manner and to high standards You have an understanding of Australian Government health benefits programs and their governing legislation You have good judgement to contribute to decision making and can seek assistance when it is needed What you need to know Positions are based in Canberra Brisbane Sydney Melbourne Perth Hobart or Adelaide Offices Travel within Australia may be required Security clearance Hold or be able to attain Baseline Security clearance Applicants must be an Australian Citizen Salary APS3 APS6 range 60 161 92 265 For further information and to submit an application please refer to Department of Health Applications close Sunday 29 April 2018 11 30pm AEST ,Full Time,val
Accounting,About the company This prestigious and above all well respected ASX listed company based in the heart of Brisbane s CBD has a newly created position for a Junior Accountant to join their group finance team This company has enjoyed stable growth and a consistent team Fast paced with definite career path prospects our client is a breeding ground for talented accountants About the role Working within the group finance team this is a business critical role to assist the Group Financial Accountant in all areas relating to the global reporting This is a varied role that will offer you exposure to all aspects of accounting including Financial Accounting Tax and Treasury Your duties will include Assist in the reporting consolidation and analysis of financial results Support internal and external audit processes and compliance with Accounting Standards Bank reconciliations Completion of consolidation entries using Hyperion Assist with EOM and EOY reporting Assist with statutory and management reporting Cashflow reporting Other adhoc duties as required About you Either CA CPA qualified or studying towards you will ideally have a background in Big 4 or mid tier Audit or Business services working on large clients within complex multisite environments and foreign currency transactions Experience of consolidation systems similar to Hyperion would be a distinctive advantage You will have a hands on attitude and the ability to think of the bigger picture A willingness to learn and get involved in projects is also essential SAP experience coupled with strong Excel skills will be highly regarded What s on offer Work for an ASX listed employer of choice with Global operations An exceptional opportunity for someone looking to make their first move from Public Practice Big 4 or mid tier into commerce Extensive opportunities to develop your career long term Strong mentoring and an encouraging team environment If this sounds like the position you have been waiting for APPLY NOW or call Claire Nagle at people2people on 07 3 show number or 0432 show number for a confidential discussion on your suitability for this role To apply for this role please follow the apply now button or for a confidential discussion please contact me on the number below ,Full Time,val
Hospitality & Tourism, Company At Sheraton we go above and beyond in everything we do We are inspired by our guests and one another and are driven to make things better We love what we do and we give it all we ve got on property and off When guests stay with us it s not just a room with a bed that they re buying It s an experience We re looking for someone who is ready to go beyond in everything they do If you are someone with a genuine drive to improve your life and the lives of those around you we encourage you to explore careers with Sheraton Location Surrounded by lush tropical gardens and sparkling blue lagoons Sheraton Grand Mirage Resort Gold Coast comprises of 295 guest rooms four award winning restaurants and bars all in an absolute beachfront environment Department If you have a 5 star attitude towards service and enjoy working in a fast paced hospitality environment this is the job for you To assist us in maintaining our reputation for outstanding customer service we are currently seeking an experienced and enthusiastic Manager on Duty Rooms Controller to join our Front Office Team Job Description As our Rooms Controller Manager on Duty you will be responsible for ensuring our associates provide efficient service and create memorable experiences through making emotional connections with all of our guests In this position you will have outstanding guest relations coupled with guest resolution skills strong financial acumen and ability to work a 24 hour rotating roster Reporting to the Front Office Manager the successful candidate will possess a consultative management style excellent communication organisational skills and have proven experience in a similar role Duties will include but won t be limited to Optimise the use of technology platforms including Mobile Guest Services and Empower Guest Experience to Go Beyond for our valued guests Organise and coordinate check in pre registration procedures for arriving guests and groups to optimise the sense of arrival Actively listen and respond positively to guest questions concerns and requests using brand or property specific process e g LEARN or Human Truths to resolve issues delight and build trust Initiate service recovery and empathise with guests whilst ensuring to make sound business decisions Maintain the resorts GUESTVOICE system and ensure all feedback is addressed and responded to in an appropriate timeframe Prepare for VIP guest arrivals and remain attentive throughout their stage ensuring preferences and needs are exceeded Responsible for the success of the resorts Upselling Program and ensure KPI s met Supervise the management of inventory availability and blocking to ensure that each Guest is accommodated according to their requirements investigating any room discrepancies Assigning rooms according to guest request and preferences to ensure guests get the most of the Starwood Preferred Guest Program Anticipate Guest s needs through observation and offer prompt efficient service either personally or through effective communication with other Associates Ensure that all Front Office Associates are motivated and trained in the correct method of Front Office service assisting with the maintenance of standards and procedures training certification and performance appraisals Work closely with the Front Office Manager team to ensure a smooth overall daily operation Requirements This is the ideal position for someone who has a passion for guest service values problem resolution and enjoys working in a fast paced environment The successful candidate must have a friendly and welcoming attitude with everyone Prior experience in a similar role is essential To attract and retain the best and brightest people for our team we offer a range of exceptional benefits including Free onsite parking Discounted meals Exceptionally generous accommodation discounts World class training programs and Strategic career development opportunities Working for Sheraton is so much more than just a job it s a lifestyle Be your best Start your career at Sheraton where you don t just work you belong ,Full Time,val
Sales,Our client is an Australian automotive institution that supplies some of the rarest and most collectible cars in the world Their garage in its inner suburban location remains a Melbourne icon attracting visitors from all over the world In addition to their commitment to blue chip and exotic vehicles they are enjoying significant growth through the buying and selling of more mainstream cars As such they are currently seeking a vibrant high performing Internal Sales Consultant to join their dynamic call centre team With uncapped commissions on offer as well as above industry remuneration this is an outstanding highly commission based opportunity not to be missed Reporting directly to the Head of Sales the key responsibilities of this role are as follows Identifying opportunities in the market through various online platforms Contacting and quickly developing rapport with prospective car sellers Negotiating commercial deals for second hand vehicles across Australia and Organising inspections for vehicles nationwide through their sophisticated internal system In order to be considered for this wonderful opportunity you will have A strong proven sales track record as well as meeting and exceeding conversion and sales targets Strong rapport building negotiation persuasion and presentation skills Experience and knowledge within the automotive industry is a bonus but definitely not essential The ability to work autonomously within a team and Excellent communication skills both written and verbal and Be highly driven for success as there is a direct correlation between effort and earnings Please be advised our screening process will take approximately 3 to 5 business days from the date this ad was posted From here only shortlisted candidates will be contacted ,Full Time,val
Government & Defence, Want to be a leader and be part of a bigger team that makes sure Australia s health system is world class affordable and accessible Keep reading Today we have around 250 people who work to help make sure Medicare and the PBS is used well By July this year we will increase to around 400 people We now need some help experienced professionals who can help us collect debts and lead the improvement of our debt recovery arrangements Who are we The Commonwealth Health Department Provider Benefits Integrity Division is responsible for identifying investigating and treating incorrect claiming inappropriate practices and fraud We use a range of tools and approaches including Data analytics Behavioural economics Targeted campaigns Investigations Audit and Professional review An important part of our work is to investigate instances of serious and intentional misuse misappropriation and fraudulent obtaining of funds in relation to Health Provider access to Australian Government Health funding programs We undertake investigations under Part IID of the Human Services Medicare Act 1973 referring matters to the Commonwealth Director of Public Prosecutions CDPP for criminal prosecution Who are we looking for Experienced investigators Experienced fraud analysts What will you do As part of the Investigations Section you will lead a team that Conduct analysis of suspected fraud cases referred to the team Conduct investigations into cases of fraud and fraud related non compliance for referral of cases to the CDPP and Raise associated debt prepare briefs of evidence for the CDPP undertaking search warrants as required Executive Level 1 staff provide leadership and management of the PBID Who are you You will hold qualifications in Accountancy You are a strong leader and manager understand people and have well developed written and oral communication skills You have a sound understanding and experience in overseeing major operations the preparation and execution of search warrants records of interview witness statements and briefs of evidence to the Public Prosecutor Office or You have extensive experience in fraud and entity analysis You can ensure all investigations are conducted in a timely manner and to high standards You will be able to assist in the development of policy and procedures for the conduct of investigations as required You are experienced in giving evidence in criminal and civil court You have a sound understanding of Australian Government health benefits programs and their governing legislation You will hold a Diploma in Government Investigations or equivalent or ability to gain within 12 months What you need to know Positions are based in Sydney Melbourne or Canberra Office Travel within Australia may be required Security clearance Hold or be able to attain Negative Vetting Level 1 Security clearance Applicants must be an Australian Citizen Salary EL1 range 100 502 114 624 For further information and to submit an application please refer to Department of Health Applications close Sunday 29 April 2018 11 30pm AEST ,Full Time,val
Healthcare & Medical, Canberra is Australia s capital located inland from the southeast coast It is just 2 hours from pristine beaches and snow capped mountains Boasting world class wining and dining iconic national attractions and breathtaking adventures in the great outdoors Canberra has everything you need and it s all just moments away As a Specsavers Optometrist you will receive fantastic rewards and benefits including quarterly and annual bonuses your registration and insurance covered every year and continuous support towards your ongoing professional development We have a range of full time part time and contract positions available to cater for individual needs and circumstances So whether you are looking for the security of a permanent position the flexibility of a locum position or something in between Specsavers has you covered We have multiple opportunities for both full time part time optometrists in the follow stores Canberra Centre Gungahlin Queanbeyan Tuggeranong Woden We re on a clear mission to transform eye health in Australia and New Zealand and we d like you to join us on that mission Our equipment and technology strategies our close working relationships with ophthalmology and various eye disease stakeholders alongside our major investments into dispensing qualifications all contribute to a singular purpose to transform the eye health of Australians and New Zealanders So if you re concerned at the 50 per cent undiagnosed glaucoma cohort and the under indexing of diabetic retinopathy screenings if you re worried that available in store technology isn t being used on every patient due to extra fees and charges and if you re alarmed at the under investment in professional dispensing programs and technology then we urge you to talk to us about how you can make a genuine impact at Specsavers Contact Jordan Olsen today jordan olsen specsavers com or call 03 9091 8933 for a confidential chat Remember we offer a refer a friend cash bonus for any Optometrist we place that isn t known to us ,Full Time,val
"Manufacturing, Transport & Logistics", Head of Logistics Join a rapidly growing Bakery FMCG business This is a leadership role within this rapidly growing organisation The position is responsible for the day to day operations of the logistics division The focus is on order fulfillment to ensure an optimum level of customer satisfaction Report to the CEO Take the next step in your FMCG Logistics career Around 150K Video https www youtube com watch v OiLnvTHfQoQ We are interviewing this week so please APPLY NOW ,Full Time,val
Trades & Services, Beaurepaires More driven Are you motivated eager to learn and keen to work in a safety focused environment that allows you to work closely with our customers and create a great experience for them Reporting to the Regional Manager you will first and foremost be required to manage all staff within the store and ensure that the store runs smoothly on a day to day basis About You As someone who enjoys physical work you will Have good time management skills Take pride in a job well done Want to work for a trusted Australian brand Thrive under pressure in a team environment Love a busy and challenging environment Hold a current driver s license About the role managing store KPI s sales revenue profit margin and store contribution budget managing OH S related issues offering sales and customer service all store administration stock control handling and delivery carrying out daily banking reconciliation and debtors management of store security and assets What s on offer By joining Beaurepaires you not only become part of one of Australia s most trusted brands but you also become part of Goodyear Dunlop Tyres a global leader in tyre technology Career opportunities are plentiful with the prospect of working in many different environments including in store at customers yards and on the road in our mobility trucks Career progression into store leadership and administration roles offers an additional career path Servicing Richmond Burnley North Richmond West Richmond East Richmond and Cremorne and located on Bridge Road Beaurepaires Richmond is within 50 metres of public transport and easily accessible via the route 75 or 48 tram and is also close to both the East Richmond and Richmond Train station Attractive wage rates and benefits are on offer as well as tyre discounts for you and your family If you have the necessary experience and are looking to join one of Australia s premier tyre retailers APPLY NOW ONLINE Beaurepaires is one of the largest retail tyre companies in Australia with over 230 company owned and operated stores Beaurepaires is owned and operated in Australia by The Goodyear Dunlop Tyres company which is part of the Global Goodyear Network For more information about Beaurepaires products and services go to www beaurepaires com au ,Full Time,val
Marketing & Communications, With the changes in the non profit space and the increase in the need for Fundraising Managers I am calling on all candidates who are looking for a career in fundraising Client Details As a specialist I work with a huge range of high profile clients across all of NSW They range from successful small to medium sized companies to leading global organisations Description As a Fundraising Manager you will be Developing and implementing a sustainable growth plan for the fundraising portfolio in line with the new strategic plan and vision Applying your personable and hands on approach to create and maintain effective relationships with key stakeholders and donors Sourcing new partnerships trusts and foundations and nurturing current relationships Growing community fundraising events and participation through online and digital channels Analysing and interpreting data to drive continuous improvement and solutions based outcomes Profile To be successful in this role you will have 3 4 years experience in a similar role Ideally you will be an experienced fundraiser across various channels Demonstrable management experience An innovative approach to income generation and a hunger to succeed in implementing new initiatives and creative solutions Previous experience mentoring engaging and inspiring a team to achieve results Consultative and mentoring management style to work as part of a close knit collaborative team Excellent verbal communication and interpersonal skills including the ability to negotiate be persuasive develop trust and maintain flourishing working relationships Job Offer What s on Offer Career opportunities with various organisations Access to roles that have not yet been advertised Mentorship with insight into what an employer looks for To apply online please click the Apply button below For a confidential discussion about this role please contact Billie McNeill on 612 8292 2204 ,Full Time,val
Consulting & Strategy, Principal Project Officer Role Title Principal Project Officer Employment Type Full Time Temporary up until 30 06 2019 Ongoing employment may become available Role Classification Clerk Grade 11 12 Remuneration 121 917 00 140 996 00 pa plus superannuation and annual leave loading Hours per Week 35 Location North Sydney Moving to St Leonards mid 2020 Requisition ID REQ35493 Closing Date 4 May 2018 About this role The Principal Project Officer leads and manages strategic and operational projects to meet the objectives of the Integrated Service Response The Integrated Service Response is a new service which will support people who have complex support needs and interact with multiple mainstream service systems as well as the National Disability Insurance Agency and disability support providers Where you ll be working The ISR team is hosted by NSW Health but will be co located with the National Disability Insurance Agency in Burwood The role has a state wide and whole of government focus What you ll be doing The Integrated Service Response ISR is a whole of government initiative that aims to build the capacity and capability of mainstream services to assist people with disability who have complex support needs In 2018 and 2019 the ISR will accept up to 300 referrals The Principal Project Officer will lead a small team that will focus on issues impacting people with disability who require coordination of mainstream and disability services because their wellbeing and stability in the community is threatened by crisis complexity the changing nature of their support needs or community safety concerns and where these needs cannot be met by solutions identified in the existing local service system Need more information Click here for the Role Description Find out more about applying for this position All applicants must attach a response to the two targeted questions 1 2 pages and your CV no more than 5 pages For role related queries or questions contact sarah morton moh health nsw gov au TARGETED QUESTIONS Give an example that illustrates your ability to overcome resistance or reluctance from multiple stakeholders in a limited time frame to facilitate collaboration What were the critical features of your approach and what was the outcome 400 words Provide an example of a time when you have drawn information from a wide range of sources analysed it and presented it to senior management to inform executive decision making How did you approach this and what was the result 400 words The Ministry of Health values diversity and is committed to building an inclusive workplace culture that reflects the community we serve We encourage applications from diverse community groups including Aboriginal and Torres Strait Islander people LGBTI people with a disability and people from culturally and linguistically diverse backgrounds To be eligible for employment in these roles you must be one of the following an Australian Citizen or a permanent resident of Australia or a New Zealand citizen with a current New Zealand Passport or a citizen of another country with an appropriate visa that allows you to work in Australia You can only be offered employment in this role for the duration that your current visa allows you to work in Australia and you can only be offered ongoing employment if you have a permanent visa that allows you to work in Australia To learn more about working at the Ministry of Health please visit our career portal Applications Close 4 May 2018 Role Title Principal Project Officer Employment Type Full Time Temporary up until 30 06 2019 Ongoing employment may become available Role Classification Clerk Grade 11 12 Remuneration 121 917 00 140 996 00 pa plus superannuation and annual leave loading Hours per Week 35 Location North Sydney Moving to St Leonards mid 2020 Requisition ID REQ35493 Closing Date 4 May 2018 About this role The Principal Project Officer leads and manages strategic and operational projects to meet the objectives of the Integrated Service Response The Integrated Service Response is a new service which will support people who have complex support needs and interact with multiple mainstream service systems as well as the National Disability Insurance Agency and disability support providers Where you ll be working The ISR team is hosted by NSW Health but will be co located with the National Disability Insurance Agency in Burwood The role has a state wide and whole of government focus What you ll be doing The Integrated Service Response ISR is a whole of government initiative that aims to build the capacity and capability of mainstream services to assist people with disability who have complex support needs In 2018 and 2019 the ISR will accept up to 300 referrals The Principal Project Officer will lead a small team that will focus on issues impacting people with disability who require coordination of mainstream and disability services because their wellbeing and stability in the community is threatened by crisis complexity the changing nature of their support needs or community safety concerns and where these needs cannot be met by solutions identified in the existing local service system Need more information Click here for the Role Description Find out more about applying for this position All applicants must attach a response to the two targeted questions 1 2 pages and your CV no more than 5 pages For role related queries or questions contact sarah morton moh health nsw gov au TARGETED QUESTIONS Give an example that illustrates your ability to overcome resistance or reluctance from multiple stakeholders in a limited time frame to facilitate collaboration What were the critical features of your approach and what was the outcome 400 words Provide an example of a time when you have drawn information from a wide range of sources analysed it and presented it to senior management to inform executive decision making How did you approach this and what was the result 400 words The Ministry of Health values diversity and is committed to building an inclusive workplace culture that reflects the community we serve We encourage applications from diverse community groups including Aboriginal and Torres Strait Islander people LGBTI people with a disability and people from culturally and linguistically diverse backgrounds To be eligible for employment in these roles you must be one of the following an Australian Citizen or a permanent resident of Australia or a New Zealand citizen with a current New Zealand Passport or a citizen of another country with an appropriate visa that allows you to work in Australia You can only be offered employment in this role for the duration that your current visa allows you to work in Australia and you can only be offered ongoing employment if you have a permanent visa that allows you to work in Australia To learn more about working at the Ministry of Health please visit our career portal Applications Close 4 May 2018 ,Full Time,val
Banking & Financial Services, Well established branch and member base leveraged with prominent brand Home lending and business development focus Competitive salary package commission If you are a dynamic sales and finance professional living in the Illawarra and you are eager to start a fresh challenge why not consider joining IMB s retail sales leadership team as a Branch Manager At IMB Bank our purpose is to make our customers and our communities better off and we ve been doing that for 137 years offering some of the most competitive products in the market We re an expanding organisation with a bold vision and an equally bold strategy focusing on growth and improving customer experience through digital transformation We have a great opportunity for an experienced leader with talents in sales management lending and business development to head up our Woonona branch and drive the overall performance of this well established business Leveraging a prominent and trusted brand a sizeable member base and a talented team the key elements of the role include Implementing a proactive business development and call program to generate new business activities in the local area that will drive sales and activity in the branch across IMB s broad range of financial products and services Applying effective sales management and leadership techniques to engage motivate and coach the team in carrying out their core activities Home lending and cross sales of IMB and third party products Delivering a consistent and positive service to members underpinned by our sales and service methodology and processes Overseeing and complying with operational procedural and policy requirements This role will appeal to a proactive sales professional from a finance or retail banking background with a flair for initiating business building relationships and a genuine passion toward helping customers achieve their financial goals and dreams An attractive remuneration package commission scheme is on offer to the successful candidate and a thorough training and induction program will be provided to ensure your onboarding experience is a positive one For more information the job criteria and to submit an application visit imbcareers com au ,Full Time,val
Administration & Office Support, We are currently seeking an experienced Administration Officer for a permanent opportunity in a leading FMCG Retail organisation based in Parramatta and the Greater Western Sydney This is a fantastic opportunity for an experienced Administration Officer to be a part of a leading organisation and to further develop your skills in the industry Your roles and responsibilities may include but not be limited to Provide administrative support to the team Analysing Sales data Reporting Facilitating email phone and post correspondence for team members Answering incoming phone calls in a professional manner Liaising with internal and external stakeholders Filing scanning and processing documents Meeting and greeting high profile clients Generate reports as required Document preparation General ad hoc duties Data Entry To be successful you must possess the following Previous experience in an Administrative role Experience in the FMCG Industry Experience in the retail space Excellent written and verbal communication skills Intermediate Advanced MS Word and Excel Experience working with large retailers Immaculate presentation and interpersonal skills Exceptional organisational and time management skills Ability to prioritise and work to deadlines Strong analytical and problem solving skills Strong attention to detail This roles offers a competitive salary and is a great opportunity for experienced Administration Officer to work for a well known FMCG organisation based in the Greater Western Sydney region To apply please click apply or call Prashilta Prahalad on 0288363609 for a confidential discussion ,Full Time,val
Healthcare & Medical,Healthcare Australia are currently seeking Registered Nurses with ED experience to join the team to cover placements in QLD WA If you re up for the challenge or ready for something a little bit different a Rural and Remote placement might just be what you are searching for When joining Healthcare Australia you won t be recognised just as an Agency Nurse you will be recognised as an integral part of our leading Rural and Remote team At Healthcare Australia we strive to provide quality nursing staff to various health clinics and hospitals around Australia To maintain a quality service provision our Ideal Candidates will have 2 years proven post grad experience Full work rights in Australia Sponsorship not available Full registration with AHPRA National Police Clearance and WWCC or ability to obtain one Excellent verbal and written communication skills Below are just SOME of the benefits we offer you Dedicated National Consultant with access to a 24 7 Support service both on and off placement FREE Travel and accommodation Unique opportunities in breathtaking locations amazing scenery and beautiful cultures Free on going competency training and uniforms Professional Development incentives APPLY NOW If you d like to become part of the largest nursing team in Australia and want to apply for this amazing opportunity please do so by clicking APPLY or contact Tarin Maisey and Brooke Schulz for further information on NT Recruitment healthcareaustralia com au or for a confidential conversation 08 8943 1555 Term Condition s apply ,Full Time,val
Sales, Business Analyst TELSTRA HEALTH Our vision is to be the technology provider of choice for the Australian healthcare sector to find better ways to serve patients in a connected world THE TEAM This role is based within our business development team which is an extremely busy part of our organisation You will be working closely with the sales team to analyse where improvements could be made to drive the success of the business THE ROLE We are currently seeking a Business Analysist at Telstra Health This role is flexible in regards to location and the ideal candidate will be based in Melbourne Brisbane or Sydney Telstra Health is in an exciting growth period and we are looking for employees who are striving for success As a Business analysis you will responsible of working alongside various projects within the business being responsible to analyse and report on focus areas within the business to drive constant improvement On a daily basis you will be focusing on Improvements in Data Analytics insights Stream lining of key metrics reporting and accuracy Striving for real time savings in information release to analysis Improvements in supporting the sales force to deliver sales revenue results Continual process improvement for sales and CRM processes Contribute to the management of the sales incentive plan KEY ACCOUNTABILITIES Develop implement and deliver regular reporting to the Sales organisation and various stakeholder groups on the status of sales pipeline products clients and incentive programs revenue reporting Contribute to the success of the Sales Teams though ongoing process procedural improvements To Collaborate with key stakeholders across Telstra Health Lead the process to keep track of targets and outcomes to target across the team Developing and maintaining reports within and external to the CRM environment Participate in the Telstra Health Enablement program which has the objective of unifying systems and processes across the business WHAT YOU LL BRING Essential At least 2 years demonstrated experience in operations sales operations sales Program Management Office specialising in analytics and or process Ability to provide input into business planning to ensure optimum resource utilisation Ability to understand and execute strategic direction by analysing facts to drive business improvement Proven experience in supporting complex projects with senior stakeholders Experience in business improvement and process reengineering Ability to solve complex problems Experience of contributing to a business development strategy Desirable Proficient in Microsoft Software with emphasis on Excel and Power BI CRM experience either in the form of administration deployment configuration Dynamics CRM highly desirable Programming Language SQL and VBA language SAS advantageous but not required Capability in crafting presentations in PowerPoint Experience on working on Microsoft Visio Related study or qualification in IT related discipline Business and or Finance So to build your career and join an iconic Australian company with a rich heritage please click the APPLY NOW button ,Full Time,val
Sport & Recreation, Endless growth opportunities Amazing benefits Free use of gym for your PT our RBT Education program Attractive permanent annual salary With 20 clubs throughout Australia USA and growing Result Based Training exists to empower people to transform and live their dream life Our objective is to be recognised as the premier transformation brand and to lift the standards in health and fitness RBT are seeking highly motivated passionate and knowledgeable Coach to join our team at the new Chatswood location The position is full time salary with significant earning potential of up to 70K Superannuation Additionally all staff have the opportunity to expand their one on one training client base utilising our clubs rent free We strongly believe that education needs to be a part of our Coaches ongoing development All RBT Coaches receive significant learning and development through our RBT Education Program to ensure RBT Coaches are the best in the industry At RBT our people make our success and in order to continue our growth we are committed to developing our employees whilst creating a motivating fun team environment Interested in joining the RBT team Click Apply below and send through your current resume with a cover page answering these 3 questions Why are you passionate about changing people s lives Why would you be a great fit for Result Based Training Tell us about your personal experience in the fitness industry and or fitness achievement ,Full Time,val
Information & Communication Technology, Our client is a leading developer of innovative quality embroidery software solutions with a presence in over 100 countries products in 12 languages and more that 250 000 licensed customers Their success since 1979 is fuelled by continuous product innovation and new product development They are a global organisation headquartered in Sydney that has lead the industry with ongoing innovation that pushes the boundaries of creativity They have become the world s favourite embroidery software in the world They now need a Junior Software Developer with good C skills minimum 2 years and knowledge of Object Oriented Techniques They are looking for a quick learner with high problem solving skills who can work independently within a highly capable team of programmers You will be responsible for Innovatively design and code new or enhanced software features in Wilcom s Graphics CAD software using OO Techniques Use Agile oriented software development processes to do the development Create high quality well documented code that is scalable and maintainable Work with a highly capable team of software developers You will report to the software development manager This role is perfect for someone with a deep interest in C and someone who can work independently This role has a great location great salary and an awesome office and team There will be a C test as the first step in the screening process Only those who believe you will be able to complete the test apply Applications for this role close on 30 April 2018 To apply online please click on the appropriate link below Alternatively for a confidential discussion please contact Dolly Miranda at dmiranda bloominghr com au quoting Ref No 806338 ,Full Time,val
Engineering, Hands on permanent installation of AV systems in a commercial setting with education government and corporate clients Exciting technology growing company The Organisation Specialist audio visual systems integrator working with prestigious clients in the education government and corporate sectors Having enjoyed continued growth the company is now strengthening the installation and project delivery team due to increased demand and new commercial projects As such there are excellent opportunities for career advancement and personal development The Opportunity A great opportunity to join an established name in the AV industry with an opening for an experienced and accomplished audio visual installation technician who has the aptitude to progress and develop their technical skills in a varied role Duties Hands on installation of integrated systems of audio visual video conferencing and collaboration technologies Work in small teams on a range of new build and refurb sites Rack building Cable pulling terminations including soldering Meticulous and tidy installation to high standards set by the team Be part of a dedicated and professional technical installation team Be flexible and help the team where needed overtime paid Work with AV designers Project Managers and Programmers Projects in New South Wales mainly Sydney Your Skills Qualities Experience You will be an accomplished installation technician with a strong track record of commercial work in the AV electrical or similar discipline You will have a passion for technology and problem solving and be able to install and integrate system components from several different manufacturers within the Audio Visual Video Conferencing and collaboration industries As well as your practical skills and technical knowledge you will utilise your communication skills to be a team player and deliver excellent customer service An attitude that demonstrates a customer focus and pride in your work coupled with a sense of urgency and commercial awareness is essential Training on specific technologies and their integration will be provided to candidates who demonstrate a high level of interest in AV technology and have the practical installation skills required by the role Culture A dynamic business there is a culture of professionalism and a passion for technology and delivering beyond client expectations There is a real scope for personal and professional development in the role as the company continues to grow Benefits High profile clients Excellent team environment Career progression opportunities Latest AV technologies Prestigious projects Training and development into an AV specialist Apply Apply now by following the links below Please submit your resume in Word format only For a confidential discussion please contact Dave Gallagher on 1800 667 426 Before clicking the Apply button below please ensure you read and accept the terms outlined in our Privacy Policy which can be located at www morganconsulting com au privacy Morgan Consulting is a team of experienced specialist recruiters We pride ourselves on providing open and honest communication and keeping you informed throughout the recruitment process Confidentiality is ensured with all applications ,Full Time,val
